Geolocation,Name,Description,Address,Landline,Mobile,Website,Email,Borough,Category,Products repaired,Authorised repairer,Qualifications,Independent review link,Other review link,Positive review %,Warranty offered,Pricing information
"51.583815, 0.169196",Knowhow at Curry's PC World,"Repair service for computers, laptops, TVs, washing machines, dryers, dishwashers, fridge freezers and cookers.","Unit A, Eastern Ave W, Romford RM7 7JN",0344 561 1234,,https://www.knowhow.com,No,Havering,Computers and Home Office,"Desktop, Laptop, Netbook, TV, Washing Machine, Dryer, Dishwasher, Fridge Freezer, Cooker",,,https://uk.trustpilot.com/review/www.knowhow.com,,11%,"""3 month repair guarantee"" from website","""Free consultation then £60 plus parts for PC repair, £95 for TV, Fixed price from £109 for Washing machine/dryer/fridge freezer, from £99 for Cooker, from £119 for dishwasher.  Refundable if non-reparable."" from website"
"51.566755, 0.116506",Knowhow at Curry's PC World,"Repair service for computers, laptops, TVs, washing machines, dryers, dishwashers, fridge freezers and cookers.","Unit 5 Goodmayes Retail Park, High Rd, Chadwell Heath RM6 4HX",0344 561 1234,,https://www.knowhow.com,No,Redbridge,Computers and Home Office,"Desktop, Laptop, Netbook, TV, Washing Machine, Dryer, Dishwasher, Fridge Freezer, Cooker",,,https://uk.trustpilot.com/review/www.knowhow.com,,11%,"""3 month repair guarantee"" from website","""Free consultation then £60 plus parts for PC repair, £95 for TV, Fixed price from £109 for Washing machine/dryer/fridge freezer, from £99 for Cooker, from £119 for dishwasher.  Refundable if non-reparable."" from website"
"51.544055, -0.006160",Knowhow at Curry's PC World,"Repair service for computers, laptops, TVs, washing machines, dryers, dishwashers, fridge freezers and cookers.","24 Westfield Stratford City, Montfichet Rd, Stratford E20 1EH",0344 561 1234,,https://www.knowhow.com,No,Newham,Computers and Home Office,"Desktop, Laptop, Netbook, TV, Washing Machine, Dryer, Dishwasher, Fridge Freezer, Cooker",,,https://uk.trustpilot.com/review/www.knowhow.com,,11%,"""3 month repair guarantee"" from website","""Free consultation then £60 plus parts for PC repair, £95 for TV, Fixed price from £109 for Washing machine/dryer/fridge freezer, from £99 for Cooker, from £119 for dishwasher.  Refundable if non-reparable."" from website"
"51.543972, -0.008188",Save ,Smartphone and tablet while-you-wait repair service,The Arcade Westfield Stratford City London E20 1EJ,No,,www.save.co,No,Newham,Electronic gadgets,"Phone (Apple, Samsung, Sony), tablet (Apple, Samsung), laptop (Apple), smartwatch (Apple), console (Nintendo)",,,https://uk.trustpilot.com/review/save.co,,17%,"""Your device benefits from a one year warranty no matter what repairs have been done!"" from website",See website
"51.559160, 0.072533",City Connect Ltd,Gadget exchange,"Unit 32, Middle Level, The Exchange, High Road, Ilford IG1 1AS",020 8514 3322,,No,No,Redbridge,Electronic gadgets,Phone,,,"https://www.google.co.uk/maps/place/City+Connect/@51.5580063,0.0731126,17z/data=!4m7!3m6!1s0x0:0x2e0e2befac4af001!8m2!3d51.5591636!4d0.0725815!9m1!1b1",,20%,No data,No data
"51.580110, 0.183482",Samsung Support Centre,Samsung Support Centre,"Unit 1a, Tollgate House, 96 Market Pl, Romford RM1 3ER",01798 607999,,http://www.samsung.com/uk/support/support-centres/,No,Havering,Electronic gadgets,"Phone, tablet",Samsung,,"https://www.google.co.uk/maps/place/Samsung+Support+Centre+Romford/@51.5797578,0.1830733,17.79z/data=!4m7!3m6!1s0x0:0xa393683161fd0c36!8m2!3d51.5801126!4d0.183481!9m1!1b1",,26%,No data,No data
"51.537504, 0.080307",Timpson (Barking),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Unit 21b, Vicarage Field, Ripple Road, IG11 8DG",020 8594 3419,,https://www.timpson.co.uk/stores/barking-ripple-road/,,Barking and Dagenham,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.585991, 0.081002",Timpson (Barkingside),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Tesco, 769 Cranbrook Road, !G6 1HY",020 8551 0340,,https://www.timpson.co.uk/stores/barkingside-cranbrook-road/,,Redbridge,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.514525, 0.057805",Timpson (Becton),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Asda, Tollgate Road, Becton, E6 5JP",020 7473 0114,,https://www.timpson.co.uk/stores/beckton-toll-gate-road/,,Newham,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
"51.571890, 0.134598",Timpson (Chadwell Heath),Shoe care booths offering on-site phone repairs (screen and battery replacement) and off-site tablet repairs.  At least 10 locations in the area.,"Sainsburys, 97-131 High Road, RM6 6BP",020 8599 3267,,https://www.timpson.co.uk/stores/chadwell-heath-high-road/,,Barking and Dagenham,Electronic gadgets,"Phone (iPhone, Samsung S3-S6) (screen and battery replacement), Tablet (iPad)",,,https://uk.trustpilot.com/review/www.timpson.co.uk,,26%,"""All of our repairs are completed using top quality parts and come with a 12 month guarantee."" from website",No data. Each branch sets own pricing
